dtime,time,open,high,low,close,vwap,volume,count
2020-06-28,1593302400,9003.9,9189.3,8937.5,9113.7,9075.0,2562.549236,9163
2020-06-29,1593388800,9113.8,9230.0,9013.0,9183.5,9128.9,4167.07503225,11252
2020-06-30,1593475200,9186.4,9199.0,9061.3,9133.9,9147.0,2685.85190593,8211
2020-07-01,1593561600,9135.0,9300.3,9094.2,9234.5,9213.0,3526.7614126,11919
2020-07-02,1593648000,9233.9,9269.2,8935.6,9086.0,9110.0,4547.45864937,13765
2020-07-03,1593734400,9086.0,9123.1,9041.4,9058.0,9093.5,1652.16338851,7239
2020-07-04,1593820800,9058.1,9194.8,9044.9,9138.5,9109.9,1524.40316113,6148
2020-07-05,1593907200,9138.5,9143.5,8915.1,9083.8,9042.2,1933.66216977,6980
2020-07-06,1593993600,9083.8,9372.0,9065.2,9348.2,9261.3,4710.44847333,14341
2020-07-07,1594080000,9347.1,9378.0,9204.1,9256.8,9281.5,3589.57391325,11121
2020-07-08,1594166400,9258.4,9480.0,9237.6,9440.1,9373.4,4307.70416024,16299
2020-07-09,1594252800,9440.0,9440.1,9155.2,9240.2,9297.5,3776.71826166,14412
2020-07-10,1594339200,9236.0,9314.9,9125.0,9286.0,9193.6,2668.97298418,10967
2020-07-11,1594425600,9286.1,9296.7,9186.4,9234.6,9236.1,1145.08067707,5708
2020-07-12,1594512000,9234.5,9340.0,9161.5,9300.0,9252.5,1679.96695486,6241
2020-07-13,1594598400,9300.0,9367.7,9195.7,9236.2,9280.1,2850.69438337,10587
2020-07-14,1594684800,9237.2,9275.0,9095.0,9252.2,9205.4,3085.47358479,11612
2020-07-15,1594771200,9253.9,9272.7,9155.1,9195.0,9206.8,3307.12674699,10986
2020-07-16,1594857600,9194.9,9208.8,9021.7,9130.9,9111.4,3908.40889536,13388
2020-07-17,1594944000,9131.0,9182.1,9078.5,9152.2,9134.2,2171.67983091,7968
2020-07-18,1595030400,9152.2,9208.9,9123.0,9174.1,9164.7,1053.26547125,5204
2020-07-19,1595116800,9173.7,9238.2,9111.1,9213.7,9161.8,1355.34662685,5746
2020-07-20,1595203200,9216.1,9224.6,9131.5,9163.0,9176.0,2034.71911035,7441
2020-07-21,1595289600,9163.0,9436.0,9157.3,9393.8,9339.1,4022.04830186,13722
2020-07-22,1595376000,9393.9,9569.0,9281.8,9529.9,9417.3,3139.86902079,12065
2020-07-23,1595462400,9529.8,9676.0,9460.0,9612.0,9554.4,4565.29741884,15082
2020-07-24,1595548800,9612.0,9649.0,9480.0,9553.6,9562.6,3345.55355981,12119
2020-07-25,1595635200,9553.6,9748.1,9540.9,9710.2,9648.5,2412.07406077,9599
2020-07-26,1595721600,9712.1,10197.0,9666.7,9939.6,9927.5,5224.80083782,17684
2020-07-27,1595808000,9939.6,11420.0,9937.1,11046.1,10644.0,16317.13418061,51086
2020-07-28,1595894400,11051.0,11263.1,10588.0,10934.0,10975.6,8489.68581504,31581
2020-07-29,1595980800,10934.0,11348.0,10852.2,11108.2,11121.0,6258.41077832,21687
2020-07-30,1596067200,11111.1,11187.2,10828.8,11114.8,11025.1,5060.25168109,17307
2020-07-31,1596153600,11114.8,11460.0,10980.0,11356.2,11247.5,5391.8328751,18336
2020-08-01,1596240000,11356.1,11883.4,11239.4,11809.9,11641.0,6935.58801917,26506
2020-08-02,1596326400,11811.0,12126.6,10590.0,11067.1,11330.4,9103.23275731,34756
2020-08-03,1596412800,11072.1,11484.2,10827.9,11237.3,11273.8,4734.35785204,16618
2020-08-04,1596499200,11237.1,11419.0,11028.5,11197.5,11234.4,3413.51179664,14033
2020-08-05,1596585600,11200.0,11791.4,11099.2,11746.0,11535.3,5230.82070658,20502
2020-08-06,1596672000,11746.0,11912.2,11579.3,11771.5,11777.9,4417.04203441,18399
2020-08-07,1596758400,11771.5,11918.7,11350.0,11603.5,11638.9,5264.97323381,21130
2020-08-08,1596844800,11603.5,11813.8,11540.0,11768.0,11704.0,2217.98830939,11972
2020-08-09,1596931200,11768.0,11804.9,11532.5,11687.5,11657.1,1618.55270851,10288
2020-08-10,1597017600,11689.7,12082.9,11535.5,11898.7,11887.0,6928.45634041,26144
